Competitor,Country,Date,DOB,Mark,Venue,Wind
Armin HARY,FRG,1960-06-21 00:00:00,22 MAR 1937,10.0h,Zürich (SUI),'+0.9
Asafa POWELL,JAM,2007-09-09 00:00:00,23 NOV 1982,9.74,"Stadio Guidobaldi, Rieti (ITA)",'+1.7
Asafa POWELL,JAM,2006-06-11 00:00:00,23 NOV 1982,9.77,"International Stadium, Gateshead (GBR)",'+1.5
Asafa POWELL,JAM,2005-06-14 00:00:00,23 NOV 1982,9.77,"Olympic Stadium, Athina (GRE)",'+1.6
Asafa POWELL,JAM,2006-08-18 00:00:00,23 NOV 1982,9.77,Zürich (SUI),'+1.0
Barney EWELL,USA,1948-07-09 00:00:00,25 FEB 1918,10.2h,"Evanston, IL (USA)",""
Bob HAYES,USA,1964-10-15 00:00:00,20 DEC 1942,10.0h,"National Stadium, Tokyo (JPN)",'+1.0
Bobby Joe MORROW,USA,1956-06-22 00:00:00,15 OCT 1935,10.2h,"Bakersfield, CA (USA)",0.0
Bobby Joe MORROW,USA,1956-05-19 00:00:00,15 OCT 1935,10.2h,"Houston, TX (USA)",'+0.9
Bobby Joe MORROW,USA,1956-06-29 00:00:00,15 OCT 1935,10.2h,"Los Angeles, CA (USA)",'-0.4
Calvin SMITH,USA,1983-07-03 00:00:00,08 JAN 1961,9.93,Air Force Academy (USA),'+1.4
Carl LEWIS,USA,1991-08-25 00:00:00,01 JUL 1961,9.86,"National Stadium, Tokyo (JPN)",'+1.2
Carl LEWIS,USA,1988-09-24 00:00:00,01 JUL 1961,9.92,"Olympic Stadium, Jamsil, Seoul (KOR)",'+1.1
Carl LEWIS,USA,1987-08-30 00:00:00,01 JUL 1961,9.93,"Stadio Olimpico, Roma (ITA)",'+1.0
Charley PADDOCK,USA,1921-04-23 00:00:00,11 AUG 1900,10.4h,"Redlands, CA (USA)",""
Charlie GREENE,USA,1968-06-20 00:00:00,21 MAR 1945,10.0h,"Sacramento, CA (USA)",'+2.0
Charlie GREENE,USA,1968-06-20 00:00:00,21 MAR 1945,9.9h,"Sacramento, CA (USA)",'+0.9
Christiaan BERGER,NED,1934-08-26 00:00:00,27 APR 1911,10.3h,Amsterdam (NED),""
Donald LIPPINCOTT,USA,1912-07-06 00:00:00,16 NOV 1893,10.6h,"Olympiastadion, Stockholm (SWE)",""
Donovan BAILEY,CAN,1996-07-27 00:00:00,16 DEC 1967,9.84,"Olympic Stadium, Atlanta, GA (USA)",'+0.7
Eddie TOLAN,USA,1932-08-01 00:00:00,29 SEP 1908,10.3h,"Memorial Coliseum, Los Angeles, CA (USA)",0.0
Eddie TOLAN,USA,1929-08-25 00:00:00,29 SEP 1908,10.4h,København (DEN),""
Eddie TOLAN,USA,1929-08-08 00:00:00,29 SEP 1908,10.4h,Stockholm (SWE),0.0
Enrique FIGUEROLA,CUB,1967-06-17 00:00:00,15 JUL 1938,10.0h,Budapest (HUN),'+1.8
Eulace PEACOCK,USA,1934-08-06 00:00:00,27 AUG 1914,10.3h,Oslo (NOR),""
Harold DAVIS,USA,1941-06-06 00:00:00,05 JAN 1921,10.2h,Compton (GBR),'-0.9
Harry JEROME,CAN,1960-07-15 00:00:00,30 SEP 1940,10.0h,Saskatoon (CAN),'+1.8
Heinz FÜTTERER,FRG,1954-10-31 00:00:00,14 OCT 1931,10.2h,Yokohama (JPN),'+1.1
Horacio ESTEVES,VEN,1964-08-15 00:00:00,06 JUL 1941,10.0h,Caracas (VEN),0.0
Ira MURCHISON,USA,1956-08-04 00:00:00,06 FEB 1933,10.1h,Berlin (GER),'+1.0
Ira MURCHISON,USA,1956-06-01 00:00:00,06 FEB 1933,10.2h,"Compton, CA (USA)",'-1.0
Ira MURCHISON,USA,1956-06-29 00:00:00,06 FEB 1933,10.2h,"Los Angeles, CA (USA)",'-1.3
Jackson SCHOLZ,USA,1920-09-16 00:00:00,15 MAR 1897,10.6h,Stockholm (SWE),""
Jesse OWENS,USA,1936-06-20 00:00:00,12 SEP 1913,10.2h,"Chicago, IL (USA)",'+1.2
Jim HINES,USA,1967-05-27 00:00:00,10 SEP 1946,10.0h,"Modesto, CA (USA)",'+2.0
Jim HINES,USA,1968-10-14 00:00:00,10 SEP 1946,9.95,"Estadio Olímpico, Ciudad de México (MEX)",'+0.3
Jim HINES,USA,1968-06-20 00:00:00,10 SEP 1946,9.9h,"Sacramento, CA (USA)",'+0.9
Leamon KING,USA,1956-10-20 00:00:00,13 FEB 1936,10.1h,"Ontario, CA (USA)",'+1.4
Leamon KING,USA,1956-10-27 00:00:00,13 FEB 1936,10.1h,"Santa Ana, CA (USA)",'+0.9
Leroy BURRELL,USA,1994-07-06 00:00:00,21 FEB 1967,9.85,"Stade Olympique de la Pontaise, Lausanne (SUI)",'+1.2
Leroy BURRELL,USA,1991-06-14 00:00:00,21 FEB 1967,9.90,"New York, NY (USA)",'+1.9
Lloyd LABEACH,PAN,1948-05-15 00:00:00,28 JUN 1922,10.2h,"Fresno, CA (USA)",'+0.7
Maurice GREENE,USA,1999-06-16 00:00:00,23 JUL 1974,9.79,Athina (GRE),'+0.1
McDonald BAILEY,GBR,1951-08-25 00:00:00,08 DEC 1920,10.2h,Beograd (SRB),0.0
Oliver FORD,USA,1968-05-31 00:00:00,27 MAR 1947,10.0h,"Albuquerque, NM (USA)",'+1.2
Paul NASH,RSA,1968-04-02 00:00:00,20 JAN 1947,10.0h,Krugersdorp (RSA),'+0.2
Percy WILLIAMS,CAN,1930-08-09 00:00:00,19 MAY 1908,10.3h,Toronto (CAN),""
Ralph METCALFE,USA,1933-08-12 00:00:00,29 MAY 1910,10.3h,Budapest (HUN),""
Ralph METCALFE,USA,1934-09-23 00:00:00,29 MAY 1910,10.3h,Dairen (JPN),'+2.0
Ralph METCALFE,USA,1934-09-15 00:00:00,29 MAY 1910,10.3h,Nishinomiya (JPN),""
Ray NORTON,USA,1959-04-18 00:00:00,22 SEP 1937,10.1h,San José (USA),'+1.3
Roger BAMBUCK,FRA,1968-06-20 00:00:00,22 NOV 1945,10.0h,"Sacramento, CA (USA)",'+2.0
Ronnie Ray SMITH,USA,1968-06-20 00:00:00,28 MAR 1949,9.9h,"Sacramento, CA (USA)",'+0.8
Takayoshi YOSHIOKA,JPN,1935-06-15 00:00:00,02 JUN 1909,10.3h,Tokyo (JPN),""
Usain BOLT,JAM,2009-08-16 00:00:00,21 AUG 1986,9.58,"Olympiastadion, Berlin (GER)",'+0.9
Usain BOLT,JAM,2008-08-16 00:00:00,21 AUG 1986,9.69,"National Stadium, Beijing (CHN)",0.0
Usain BOLT,JAM,2008-05-31 00:00:00,21 AUG 1986,9.72,"Icahn Stadium, New York, NY (USA)",'+1.7
Willie WILLIAMS,USA,1956-08-03 00:00:00,12 SEP 1931,10.1h,Berlin (GER),'+0.7
