Athlete,Place,Date,Time
Almaz Ayana (ETH),"Rio de Janeiro, Brazil[7]",12.08.2016,29:17.45
Ann O'Brien (IRL),"Gormanstown, Ireland[6]",1967-03-26,38:06.4
Christa Vahlensieck (FRG),"Wolfsburg, Germany[6]",1975-08-20,34:01.4
Gertrud Schmidt (GER),?[6],1966,39:25.0
Hannelore Middeke (GER),?[6],1966,39:10.0
Ingrid Kristiansen (NOR),"Oslo, Norway[3]",05.07.1986,30:13.74
Ingrid Kristiansen (NOR),"Oslo, Norway[3]",27.07.1985,30:59.42
Julie Brown (USA),"Los Angeles, United States[6]",1975-03-29,35:00.4
Kathy Gibbons (USA),"Phoenix, United States[6]",1971-06-12,34:51.0
Letesenbet Gidey (ETH),"Hengelo, Netherlands[1]",08.06.2021,29:01.03
Loa Olafsson (DEN),"Copenhagen, Denmark[6]",1978-04-06,31:45.4 Mx
Loa Olafsson (DEN),"Hvidovre, Denmark[6]",1977-03-19,33:34.17 Mx
Lyudmila Baranova (URS),"Krasnodar, Soviet Union[3]",29.05.1983,31:35.01
Mary Decker-Slaney (USA),"Eugene, USA[3]",16.07.1982,31:35.3
Natalia Mărăşescu (ROM),"Băile Felix, Romania[6]",1978-01-22,32:43.2
Olga Bondarenko (URS),"Kiev, Soviet Union[3]",24.06.1984,31:13.78
Olga Krentser (URS),"Moscow, Soviet Union[6]",1981-08-07,32:30.80
Paola Pigni (ITA),"Milan, Italy[6]",1970-05-09,35:30.5
Peg Neppel (USA),"Los Angeles, United States[6]",1977-06-09,33:15.09
Raisa Sadreydinova (URS),"Odessa, Soviet Union[3]",07.09.1983,31:27.58
Sifan Hassan (NED),"Hengelo, Netherlands[8]",06.06.2021,29:06.82
Wang Junxia (CHN),"Beijing, PR China[3]",08.09.1993,29:31.78
Yelena Sipatova (URS),"Moscow, Soviet Union[3]",19.10.1981,32:17.20
